Product Collection,Code Name,Vertical Segment,Processor Number,Status,Launch Date,Lithography,Included Items,# of Cores,# of Threads,Processor Base Frequency,Max Turbo Frequency,Cache,Intel® Turbo Boost Max Technology 3_0 Frequency ‡,TDP,Embedded Options Available,Datasheet,Max Memory Size (dependent on memory type),Memory Types,Max # of Memory Channels,ECC Memory Supported   ‡,Scalability,PCI Express Revision,Max # of PCI Express Lanes,Sockets Supported,Max CPU Configuration,Thermal Solution Specification,TJUNCTION,Intel® Deep Learning Boost (Intel® DL Boost),Intel® Optane™ Memory Supported ‡,Intel® Turbo Boost Max Technology 3_0 ‡,Intel® Turbo Boost Technology ‡,Intel® Hyper-Threading Technology ‡,Intel® Virtualization Technology (VT-x) ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Intel® 64 ‡,Instruction Set Extensions,# of AVX-512 FMA Units,Enhanced Intel SpeedStep® Technology,Intel® AES New Instructions,Execute Disable Bit ‡,Bus Speed,# of QPI Links,Product Brief,Instruction Set,PCI Express Configurations ‡,Intel® vPro™ Platform Eligibility ‡,Intel® VT-x with Extended Page Tables (EPT) ‡,Idle States,Intel® Smart Response Technology,Intel® Trusted Execution Technology ‡,Max Memory Bandwidth,TCASE,Package Size,Intel® Demand Based Switching,Thermal Monitoring Technologies,Intel® Identity Protection Technology ‡,Processor Graphics ‡,Graphics Base Frequency,Graphics Max Dynamic Frequency,Graphics Video Max Memory,Graphics Output,Intel® Quick Sync Video,Intel® InTru™ 3D Technology,Intel® Flexible Display Interface (Intel® FDI),Intel® Clear Video HD Technology,# of Displays Supported ‡,Intel® TSX-NI,Secure Key,Anti-Theft Technology,Low Halogen Options Available,VID Voltage Range,Description,Intel® My WiFi Technology,4G WiMAX Wireless Technology,Intel® Fast Memory Access,Intel® Flex Memory Access,Configurable TDP-up Frequency,Configurable TDP-up,Configurable TDP-down Frequency,Configurable TDP-down,4K Support,Max Resolution (HDMI 1_4)‡,Max Resolution (DP)‡,Max Resolution (eDP - Integrated Flat Panel)‡,DirectX* Support,OpenGL* Support,Device ID,Intel® Speed Shift Technology,Intel® Thermal Velocity Boost,Intel® Stable Image Platform Program (SIPP),Intel® Software Guard Extensions (Intel® SGX),Intel® OS Guard,Intel® Boot Guard,Execution Units,Intel® Clear Video Technology,Intel® Memory Protection Extensions (Intel® MPX),Max Resolution (VGA)‡,Use Conditions,eDRAM,Graphics Name‡,Compute Units,Graphics Memory Bandwidth,Graphics Memory Interface,Max Resolution (HDMI)‡,Vulkan*  Support,H_264 Hardware Encode/Decode,H_265 (HEVC) Hardware Encode/Decode,# of Displays Supported‡,Graphics Burst Frequency,Secure Boot,Intel® Virtualization Technology for Itanium (VT-i),Scenario Design Power (SDP),Additional Information URL,Expected Discontinuance,PCI Support,# of USB Ports,USB Revision,Total # of SATA Ports,Integrated LAN,Integrated IDE,General Purpose IO,UART,Max # of SATA 6_0 Gb/s Ports,Intel® ME Firmware Version,Intel® HD Audio Technology,Intel® Rapid Storage Technology,Intel® Smart Connect Technology,Intel® Matrix Storage Technology,Macrovision* License Required,Physical Address Extensions,Processing Die Size,# of Processing Die Transistors,FSB Parity
Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10980XE,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,18,36,3.00 GHz,4.60 GHz,24.75 MB Intel® Smart Cache,4.80 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,86°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10940X,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,14,28,3.30 GHz,4.60 GHz,19.25 MB Intel® Smart Cache,4.80 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,86°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10920X,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,12,24,3.50 GHz,4.60 GHz,19.25 MB Intel® Smart Cache,4.80 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,94°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10900X,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.70 GHz,4.50 GHz,19.25 MB Intel® Smart Cache,4.70 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,94°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9980XE,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,18,36,3.00 GHz,4.40 GHz,24.75 MB Intel® Smart Cache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,84°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9960X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,16,32,3.10 GHz,4.40 GHz,22 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,85°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9940X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,14,28,3.30 GHz,4.40 GHz,19.25 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,88°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9920X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,12,24,3.50 GHz,4.40 GHz,19.25 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,92°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9900X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.50 GHz,4.40 GHz,19.25 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,92°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9820X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.30 GHz,4.10 GHz,16.5 MB SmartCache,4.20 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,92°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
